Cumulative Confirmed,Daily Discharged
59113.0,62.0
59127.0,22.0
59157.0,26.0
59197.0,32.0
59235.0,33.0
59250.0,24.0
59260.0,32.0
59308.0,26.0
59352.0,25.0
59366.0,20.0
59391.0,18.0
59425.0,44.0
59449.0,33.0
59507.0,15.0
59536.0,32.0
59565.0,43.0
59584.0,30.0
59602.0,19.0
59624.0,28.0
59649.0,25.0
59675.0,32.0
59699.0,28.0
59721.0,51.0
59732.0,22.0
59747.0,20.0
59759.0,32.0
59777.0,11.0
59786.0,35.0
59800.0,17.0
59809.0,20.0
59810.0,20.0
59821.0,15.0
59832.0,3.0
59846.0,18.0
59858.0,22.0
59869.0,12.0
59879.0,15.0
59883.0,7.0
59890.0,8.0
59900.0,24.0
59913.0,18.0
59925.0,13.0
59936.0,7.0
59948.0,7.0
59956.0,12.0
59979.0,7.0
59998.0,8.0
60007.0,13.0
60020.0,9.0
60033.0,15.0
60046.0,6.0
60052.0,5.0
60062.0,6.0
60070.0,28.0
60080.0,11.0
60088.0,11.0
60105.0,7.0
60117.0,6.0
60128.0,10.0
60137.0,17.0
60152.0,13.0
60167.0,5.0
60184.0,3.0
60196.0,16.0
60208.0,13.0
60221.0,12.0
60236.0,15.0
60253.0,8.0
60265.0,17.0
60288.0,10.0
60300.0,9.0
60321.0,9.0
60347.0,7.0
60381.0,11.0
60407.0,12.0
60450.0,15.0
60468.0,9.0
60478.0,17.0
60495.0,12.0
60519.0,25.0
60554.0,21.0
60575.0,24.0
60601.0,20.0
60633.0,18.0
60653.0,13.0
60678.0,22.0
60692.0,17.0
60719.0,18.0
60735.0,25.0
60769.0,29.0
60808.0,17.0
60831.0,22.0
60851.0,18.0
60865.0,37.0
60880.0,36.0
60904.0,27.0
60943.0,10.0
60966.0,16.0
61006.0,33.0
61051.0,20.0
61063.0,22.0
61086.0,14.0
61121.0,20.0
61145.0,13.0
61179.0,14.0
61218.0,21.0
61235.0,20.0
61252.0,17.0
61268.0,21.0
61286.0,29.0
61311.0,33.0
61331.0,6.0
61359.0,21.0
61378.0,20.0
61403.0,22.0
61419.0,31.0
61453.0,23.0
61505.0,18.0
61536.0,15.0
61585.0,42.0
61613.0,19.0
61651.0,11.0
61689.0,49.0
61730.0,46.0
61770.0,13.0
61799.0,35.0
61824.0,17.0
61860.0,22.0
61890.0,13.0
61916.0,31.0
61940.0,12.0
61970.0,35.0
62003.0,16.0
62028.0,11.0
62051.0,25.0
62069.0,22.0
62100.0,42.0
62145.0,34.0
62158.0,23.0
62176.0,33.0
62196.0,22.0
62210.0,25.0
62219.0,42.0
62223.0,38.0
62236.0,25.0
62245.0,34.0
62263.0,39.0
62276.0,31.0
62301.0,25.0
62315.0,17.0
62339.0,20.0
62366.0,29.0
62382.0,27.0
62403.0,36.0
62414.0,19.0
62430.0,28.0
62448.0,28.0
62470.0,15.0
62493.0,27.0
62513.0,21.0
62530.0,20.0
62544.0,14.0
62553.0,17.0
62563.0,7.0
62579.0,9.0
62589.0,6.0
62599.0,16.0
62606.0,15.0
62617.0,21.0
62630.0,13.0
62640.0,14.0
62652.0,28.0
62668.0,22.0
62678.0,11.0
62684.0,23.0
62692.0,17.0
62718.0,18.0
62744.0,21.0
62804.0,14.0
62852.0,14.0
62913.0,17.0
62981.0,14.0
63073.0,14.0
63245.0,6.0
63440.0,11.0
63621.0,17.0
63791.0,16.0
63924.0,11.0
64054.0,8.0
64179.0,10.0
64314.0,12.0
64453.0,20.0
64589.0,26.0
64722.0,16.0
64861.0,54.0
64981.0,130.0
65102.0,94.0
65213.0,76.0
65315.0,219.0
65410.0,105.0
65508.0,100.0
65605.0,79.0
65686.0,122.0
65764.0,200.0
65836.0,204.0
65890.0,90.0
65953.0,141.0
66012.0,87.0
66061.0,157.0
66119.0,132.0
66172.0,123.0
66225.0,110.0
66281.0,160.0
66334.0,90.0
66366.0,90.0
66406.0,160.0
66443.0,126.0
66478.0,73.0
66576.0,99.0
66692.0,72.0
66812.0,53.0
66928.0,84.0
67050.0,59.0
67171.0,54.0
67304.0,70.0
67459.0,40.0
67620.0,42.0
67800.0,48.0
67991.0,90.0
68210.0,56.0
68469.0,144.0
68660.0,88.0
68901.0,119.0
69233.0,148.0
69582.0,345.0
70039.0,221.0
70612.0,334.0
71167.0,221.0
71687.0,200.0
72294.0,247.0
73131.0,165.0
73938.0,277.0
74848.0,374.0
75783.0,363.0
76792.0,510.0
77804.0,476.0
78721.0,487.0
79899.0,541.0
81356.0,462.0
82860.0,321.0
84510.0,984.0
85953.0,740.0
87892.0,517.0
89539.0,524.0
91775.0,1045.0
94043.0,1086.0
96521.0,867.0
99430.0,950.0
101786.0,1603.0
103843.0,1199.0
106318.0,2540.0
109804.0,1745.0
113381.0,2899.0
116864.0,3445.0
120454.0,2454.0
124157.0,3019.0
126966.0,2469.0
129229.0,2249.0
132205.0,2110.0
135395.0,3215.0
138327.0,3427.0
141772.0,3284.0
145120.0,3429.0
148178.0,3754.0
150731.0,3071.0
154725.0,2535.0
158587.0,2715.0
162026.0,2606.0
165663.0,2825.0
169261.0,3512.0
172644.0,3369.0
175818.0,2954.0
179095.0,2856.0
184419.0,3172.0
